,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
198,1.25,0.5,True,ac1,0.0,0.5,0.0,0.5,0.02
199,1.25,0.5,True,iqr,0.0,0.0,0.0,0.0,0.02
200,1.25,0.5,True,std_dev,0.0,0.0,0.0,0.0,0.02
201,1.5,1e-10,False,ac1,1.0,1.0,1.0,1.0,1.0
202,1.5,1e-10,False,iqr,1.0,1.0,0.86,1.0,1.0
203,1.5,1e-10,False,std_dev,1.0,1.0,0.91,1.0,1.0
204,1.5,1e-10,True,ac1,1.0,1.0,1.0,1.0,1.0
205,1.5,1e-10,True,iqr,1.0,1.0,0.86,1.0,1.0
206,1.5,1e-10,True,std_dev,1.0,1.0,0.91,1.0,1.0
207,1.5,1e-08,False,ac1,1.0,1.0,1.0,1.0,1.0
208,1.5,1e-08,False,iqr,1.0,1.0,0.86,1.0,1.0
209,1.5,1e-08,False,std_dev,1.0,1.0,0.91,1.0,1.0
210,1.5,1e-08,True,ac1,1.0,1.0,1.0,1.0,1.0
211,1.5,1e-08,True,iqr,1.0,1.0,0.86,1.0,1.0
212,1.5,1e-08,True,std_dev,1.0,1.0,0.91,1.0,1.0
213,1.5,1e-06,False,ac1,1.0,1.0,1.0,1.0,1.0
214,1.5,1e-06,False,iqr,1.0,1.0,0.86,1.0,1.0
215,1.5,1e-06,False,std_dev,1.0,1.0,0.91,1.0,1.0
216,1.5,1e-06,True,ac1,1.0,1.0,1.0,1.0,1.0
217,1.5,1e-06,True,iqr,1.0,1.0,0.86,1.0,1.0
218,1.5,1e-06,True,std_dev,1.0,1.0,0.91,1.0,1.0
219,1.5,0.0001,False,ac1,1.0,1.0,1.0,1.0,1.0
220,1.5,0.0001,False,iqr,1.0,1.0,0.85,1.0,1.0
221,1.5,0.0001,False,std_dev,1.0,1.0,0.89,1.0,1.0
222,1.5,0.0001,True,ac1,1.0,1.0,1.0,1.0,1.0
223,1.5,0.0001,True,iqr,1.0,1.0,0.85,1.0,1.0
224,1.5,0.0001,True,std_dev,1.0,1.0,0.9,1.0,1.0
225,1.5,0.001,False,ac1,1.0,1.0,1.0,1.0,1.0
226,1.5,0.001,False,iqr,1.0,1.0,0.86,1.0,1.0
227,1.5,0.001,False,std_dev,0.93,1.0,0.74,1.0,1.0
228,1.5,0.001,True,ac1,1.0,1.0,1.0,1.0,1.0
229,1.5,0.001,True,iqr,1.0,1.0,0.85,1.0,1.0
230,1.5,0.001,True,std_dev,0.9,1.0,0.76,1.0,1.0
231,1.5,0.01,False,ac1,1.0,1.0,1.0,1.0,1.0
232,1.5,0.01,False,iqr,1.0,1.0,0.64,1.0,1.0
233,1.5,0.01,False,std_dev,0.52,0.97,0.18,0.97,1.0
234,1.5,0.01,True,ac1,1.0,1.0,1.0,1.0,0.98
235,1.5,0.01,True,iqr,1.0,1.0,0.6224489795918368,1.0,0.98
236,1.5,0.01,True,std_dev,0.5102040816326531,0.9795918367346939,0.1836734693877551,0.9795918367346939,0.98
237,1.5,0.02,False,ac1,1.0,1.0,1.0,1.0,0.98
238,1.5,0.02,False,iqr,1.0,1.0,0.6122448979591837,1.0,0.98
239,1.5,0.02,False,std_dev,0.4897959183673469,0.9489795918367347,0.14285714285714285,0.9489795918367347,0.98
240,1.5,0.02,True,ac1,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.98
241,1.5,0.02,True,iqr,0.9897959183673469,0.9897959183673469,0.5306122448979592,0.9897959183673469,0.98
242,1.5,0.02,True,std_dev,0.42857142857142855,0.9387755102040817,0.14285714285714285,0.9387755102040817,0.98
243,1.5,0.05,False,ac1,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.97
244,1.5,0.05,False,iqr,0.9896907216494846,0.9896907216494846,0.5773195876288659,0.9896907216494846,0.97
245,1.5,0.05,False,std_dev,0.4639175257731959,0.9278350515463918,0.14432989690721648,0.9278350515463918,0.97
